date,type,nb_objets
2016-01-01 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",13
2016-01-01 00:00:00+00:00,"Articles de sport, loisirs, camping",1
2016-01-01 00:00:00+00:00,Articles médicaux,1
2016-01-01 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",18
2016-01-01 00:00:00+00:00,"Clés, porte-clés, badge magnétique",4
2016-01-01 00:00:00+00:00,Divers,2
2016-01-01 00:00:00+00:00,"Livres, articles de papéterie",3
2016-01-01 00:00:00+00:00,Optique,6
2016-01-01 00:00:00+00:00,Parapluies,1
2016-01-01 00:00:00+00:00,Pièces d'identités et papiers personnels,9
2016-01-01 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",11
2016-01-01 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",1
2016-01-01 00:00:00+00:00,"Vêtements, chaussures",13
2016-01-02 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",16
2016-01-02 00:00:00+00:00,"Articles d'enfants, de puériculture",2
2016-01-02 00:00:00+00:00,"Articles de sport, loisirs, camping",1
2016-01-02 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",37
2016-01-02 00:00:00+00:00,"Clés, porte-clés, badge magnétique",3
2016-01-02 00:00:00+00:00,Divers,3
2016-01-02 00:00:00+00:00,Optique,3
2016-01-02 00:00:00+00:00,Parapluies,2
2016-01-02 00:00:00+00:00,Pièces d'identités et papiers personnels,8
2016-01-02 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",24
2016-01-02 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",1
2016-01-02 00:00:00+00:00,"Vêtements, chaussures",14
2016-01-03 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",17
2016-01-03 00:00:00+00:00,"Articles d'enfants, de puériculture",8
2016-01-03 00:00:00+00:00,"Articles de sport, loisirs, camping",3
2016-01-03 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",36
2016-01-03 00:00:00+00:00,"Clés, porte-clés, badge magnétique",2
2016-01-03 00:00:00+00:00,Divers,4
2016-01-03 00:00:00+00:00,"Livres, articles de papéterie",6
2016-01-03 00:00:00+00:00,Optique,10
2016-01-03 00:00:00+00:00,Parapluies,1
2016-01-03 00:00:00+00:00,Pièces d'identités et papiers personnels,8
2016-01-03 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",15
2016-01-03 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",2
2016-01-03 00:00:00+00:00,"Vêtements, chaussures",22
2016-01-04 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",53
2016-01-04 00:00:00+00:00,"Articles d'enfants, de puériculture",7
2016-01-04 00:00:00+00:00,"Articles de sport, loisirs, camping",8
2016-01-04 00:00:00+00:00,Articles médicaux,2
2016-01-04 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",181
2016-01-04 00:00:00+00:00,"Bijoux, montres",3
2016-01-04 00:00:00+00:00,"Clés, porte-clés, badge magnétique",18
2016-01-04 00:00:00+00:00,Divers,10
2016-01-04 00:00:00+00:00,Instruments de musique,1
2016-01-04 00:00:00+00:00,"Livres, articles de papéterie",5
2016-01-04 00:00:00+00:00,Optique,13
2016-01-04 00:00:00+00:00,Parapluies,1
2016-01-04 00:00:00+00:00,Pièces d'identités et papiers personnels,40
2016-01-04 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",49
2016-01-04 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",4
2016-01-04 00:00:00+00:00,"Vêtements, chaussures",28
2016-01-05 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",29
2016-01-05 00:00:00+00:00,"Articles d'enfants, de puériculture",1
2016-01-05 00:00:00+00:00,Articles médicaux,1
2016-01-05 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",95
2016-01-05 00:00:00+00:00,"Bijoux, montres",7
2016-01-05 00:00:00+00:00,"Clés, porte-clés, badge magnétique",3
2016-01-05 00:00:00+00:00,Divers,4
2016-01-05 00:00:00+00:00,"Livres, articles de papéterie",6
2016-01-05 00:00:00+00:00,Optique,15
2016-01-05 00:00:00+00:00,Parapluies,5
2016-01-05 00:00:00+00:00,Pièces d'identités et papiers personnels,28
2016-01-05 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",29
2016-01-05 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",1
2016-01-05 00:00:00+00:00,"Vêtements, chaussures",26
2016-01-06 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",37
2016-01-06 00:00:00+00:00,"Articles d'enfants, de puériculture",5
2016-01-06 00:00:00+00:00,"Articles de sport, loisirs, camping",3
2016-01-06 00:00:00+00:00,Articles médicaux,1
2016-01-06 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",57
2016-01-06 00:00:00+00:00,"Bijoux, montres",5
2016-01-06 00:00:00+00:00,"Clés, porte-clés, badge magnétique",24
2016-01-06 00:00:00+00:00,Divers,10
2016-01-06 00:00:00+00:00,"Livres, articles de papéterie",4
2016-01-06 00:00:00+00:00,Optique,20
2016-01-06 00:00:00+00:00,Parapluies,8
2016-01-06 00:00:00+00:00,Pièces d'identités et papiers personnels,34
2016-01-06 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",26
2016-01-06 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",2
2016-01-06 00:00:00+00:00,"Vêtements, chaussures",24
2016-01-07 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",47
2016-01-07 00:00:00+00:00,"Articles d'enfants, de puériculture",5
2016-01-07 00:00:00+00:00,"Articles de sport, loisirs, camping",1
2016-01-07 00:00:00+00:00,Articles médicaux,5
2016-01-07 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",83
2016-01-07 00:00:00+00:00,"Bijoux, montres",6
2016-01-07 00:00:00+00:00,"Clés, porte-clés, badge magnétique",22
2016-01-07 00:00:00+00:00,Divers,10
2016-01-07 00:00:00+00:00,Instruments de musique,1
2016-01-07 00:00:00+00:00,"Livres, articles de papéterie",9
2016-01-07 00:00:00+00:00,Optique,18
2016-01-07 00:00:00+00:00,Parapluies,9
2016-01-07 00:00:00+00:00,Pièces d'identités et papiers personnels,47
2016-01-07 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",44
2016-01-07 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",1
2016-01-07 00:00:00+00:00,"Vêtements, chaussures",29
2016-01-08 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",29
2016-01-08 00:00:00+00:00,"Articles d'enfants, de puériculture",3
2016-01-08 00:00:00+00:00,"Articles de sport, loisirs, camping",2
2016-01-08 00:00:00+00:00,Articles médicaux,2
2016-01-08 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",88
2016-01-08 00:00:00+00:00,"Bijoux, montres",7
2016-01-08 00:00:00+00:00,"Clés, porte-clés, badge magnétique",17
2016-01-08 00:00:00+00:00,Divers,4
2016-01-08 00:00:00+00:00,"Livres, articles de papéterie",6
2016-01-08 00:00:00+00:00,Optique,11
