date,type,nb_objets
2016-01-31 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",1035
2016-01-31 00:00:00+00:00,"Articles d'enfants, de puériculture",79
2016-01-31 00:00:00+00:00,"Articles de sport, loisirs, camping",63
2016-01-31 00:00:00+00:00,Articles médicaux,49
2016-01-31 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",2112
2016-01-31 00:00:00+00:00,"Bijoux, montres",72
2016-01-31 00:00:00+00:00,"Clés, porte-clés, badge magnétique",461
2016-01-31 00:00:00+00:00,Divers,137
2016-01-31 00:00:00+00:00,Instruments de musique,7
2016-01-31 00:00:00+00:00,"Livres, articles de papéterie",198
2016-01-31 00:00:00+00:00,Optique,385
2016-01-31 00:00:00+00:00,Parapluies,121
2016-01-31 00:00:00+00:00,Pièces d'identités et papiers personnels,762
2016-01-31 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",839
2016-01-31 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",60
2016-01-31 00:00:00+00:00,"Vêtements, chaussures",863
2016-02-29 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",1004
2016-02-29 00:00:00+00:00,"Articles d'enfants, de puériculture",103
2016-02-29 00:00:00+00:00,"Articles de sport, loisirs, camping",71
2016-02-29 00:00:00+00:00,Articles médicaux,33
2016-02-29 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",2152
2016-02-29 00:00:00+00:00,"Bijoux, montres",92
2016-02-29 00:00:00+00:00,"Clés, porte-clés, badge magnétique",348
2016-02-29 00:00:00+00:00,Divers,119
2016-02-29 00:00:00+00:00,Instruments de musique,17
2016-02-29 00:00:00+00:00,"Livres, articles de papéterie",187
2016-02-29 00:00:00+00:00,Optique,408
2016-02-29 00:00:00+00:00,Parapluies,146
2016-02-29 00:00:00+00:00,Pièces d'identités et papiers personnels,689
2016-02-29 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",820
2016-02-29 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",82
2016-02-29 00:00:00+00:00,"Vêtements, chaussures",903
2016-03-31 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",1126
2016-03-31 00:00:00+00:00,"Articles d'enfants, de puériculture",100
2016-03-31 00:00:00+00:00,"Articles de sport, loisirs, camping",77
2016-03-31 00:00:00+00:00,Articles médicaux,38
2016-03-31 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",2191
2016-03-31 00:00:00+00:00,"Bijoux, montres",71
2016-03-31 00:00:00+00:00,"Clés, porte-clés, badge magnétique",425
2016-03-31 00:00:00+00:00,Divers,147
2016-03-31 00:00:00+00:00,Instruments de musique,22
2016-03-31 00:00:00+00:00,"Livres, articles de papéterie",223
2016-03-31 00:00:00+00:00,Optique,412
2016-03-31 00:00:00+00:00,Parapluies,132
