date,nb_objets
2016-01-31 00:00:00+00:00,7243
2016-02-29 00:00:00+00:00,7174
2016-03-31 00:00:00+00:00,7452
2016-04-30 00:00:00+00:00,7585
2016-05-31 00:00:00+00:00,8133
2016-06-30 00:00:00+00:00,7527
2016-07-31 00:00:00+00:00,9179
2016-08-31 00:00:00+00:00,8928
2016-09-30 00:00:00+00:00,8347
2016-10-31 00:00:00+00:00,8348
2016-11-30 00:00:00+00:00,7644
2016-12-31 00:00:00+00:00,7985
2017-01-31 00:00:00+00:00,7682
2017-02-28 00:00:00+00:00,7303
2017-03-31 00:00:00+00:00,7884
2017-04-30 00:00:00+00:00,7921
2017-05-31 00:00:00+00:00,8091
2017-06-30 00:00:00+00:00,8650
2017-07-31 00:00:00+00:00,9753
2017-08-31 00:00:00+00:00,8692
2017-09-30 00:00:00+00:00,7862
2017-10-31 00:00:00+00:00,8493
2017-11-30 00:00:00+00:00,7761
2017-12-31 00:00:00+00:00,7824
2018-01-31 00:00:00+00:00,7903
2018-02-28 00:00:00+00:00,7156
2018-03-31 00:00:00+00:00,7481
2018-04-30 00:00:00+00:00,5555
2018-05-31 00:00:00+00:00,5908
2018-06-30 00:00:00+00:00,7002
2018-07-31 00:00:00+00:00,8919
2018-08-31 00:00:00+00:00,8417
2018-09-30 00:00:00+00:00,8066
2018-10-31 00:00:00+00:00,8884
2018-11-30 00:00:00+00:00,7397
2018-12-31 00:00:00+00:00,7578
2019-01-31 00:00:00+00:00,7172
2019-02-28 00:00:00+00:00,6894
2019-03-31 00:00:00+00:00,7562
2019-04-30 00:00:00+00:00,7902
2019-05-31 00:00:00+00:00,7599
2019-06-30 00:00:00+00:00,7793
2019-07-31 00:00:00+00:00,9181
2019-08-31 00:00:00+00:00,8020
2019-09-30 00:00:00+00:00,7880
2019-10-31 00:00:00+00:00,7668
2019-11-30 00:00:00+00:00,6932
2019-12-31 00:00:00+00:00,3656
2020-01-31 00:00:00+00:00,5245
2020-02-29 00:00:00+00:00,6701
2020-03-31 00:00:00+00:00,3272
2020-04-30 00:00:00+00:00,58
2020-05-31 00:00:00+00:00,1109
2020-06-30 00:00:00+00:00,3486
2020-07-31 00:00:00+00:00,5713
2020-08-31 00:00:00+00:00,5543
2020-09-30 00:00:00+00:00,5230
2020-10-31 00:00:00+00:00,5136
2020-11-30 00:00:00+00:00,2113
2020-12-31 00:00:00+00:00,3741
2021-01-31 00:00:00+00:00,3799
2021-02-28 00:00:00+00:00,3771
2021-03-31 00:00:00+00:00,4178
2021-04-30 00:00:00+00:00,3144
2021-05-31 00:00:00+00:00,4306
2021-06-30 00:00:00+00:00,5416
2021-07-31 00:00:00+00:00,6673
2021-08-31 00:00:00+00:00,6599
2021-09-30 00:00:00+00:00,6149
2021-10-31 00:00:00+00:00,6243
2021-11-30 00:00:00+00:00,5647
2021-12-31 00:00:00+00:00,6044
