date,type,nb_objets
2016-03-31 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",3165
2016-03-31 00:00:00+00:00,"Articles d'enfants, de puériculture",282
2016-03-31 00:00:00+00:00,"Articles de sport, loisirs, camping",211
2016-03-31 00:00:00+00:00,Articles médicaux,120
2016-03-31 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",6455
2016-03-31 00:00:00+00:00,"Bijoux, montres",235
2016-03-31 00:00:00+00:00,"Clés, porte-clés, badge magnétique",1234
2016-03-31 00:00:00+00:00,Divers,403
2016-03-31 00:00:00+00:00,Instruments de musique,46
2016-03-31 00:00:00+00:00,"Livres, articles de papéterie",608
2016-03-31 00:00:00+00:00,Optique,1205
2016-03-31 00:00:00+00:00,Parapluies,399
2016-03-31 00:00:00+00:00,Pièces d'identités et papiers personnels,2143
2016-03-31 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",2508
2016-03-31 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",218
2016-03-31 00:00:00+00:00,"Vêtements, chaussures",2637
2016-06-30 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",3380
2016-06-30 00:00:00+00:00,"Articles d'enfants, de puériculture",271
2016-06-30 00:00:00+00:00,"Articles de sport, loisirs, camping",245
2016-06-30 00:00:00+00:00,Articles médicaux,159
2016-06-30 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",6292
2016-06-30 00:00:00+00:00,"Bijoux, montres",237
2016-06-30 00:00:00+00:00,"Clés, porte-clés, badge magnétique",1234
2016-06-30 00:00:00+00:00,Divers,460
2016-06-30 00:00:00+00:00,Instruments de musique,67
2016-06-30 00:00:00+00:00,"Livres, articles de papéterie",668
2016-06-30 00:00:00+00:00,Optique,1504
2016-06-30 00:00:00+00:00,Parapluies,409
2016-06-30 00:00:00+00:00,Pièces d'identités et papiers personnels,2152
2016-06-30 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",2805
2016-06-30 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",245
2016-06-30 00:00:00+00:00,"Vêtements, chaussures",3117
2016-09-30 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",3678
2016-09-30 00:00:00+00:00,"Articles d'enfants, de puériculture",363
2016-09-30 00:00:00+00:00,"Articles de sport, loisirs, camping",497
2016-09-30 00:00:00+00:00,Articles médicaux,200
2016-09-30 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",6969
2016-09-30 00:00:00+00:00,"Bijoux, montres",260
2016-09-30 00:00:00+00:00,"Clés, porte-clés, badge magnétique",1334
2016-09-30 00:00:00+00:00,Divers,517
2016-09-30 00:00:00+00:00,Instruments de musique,67
2016-09-30 00:00:00+00:00,"Livres, articles de papéterie",647
2016-09-30 00:00:00+00:00,Optique,1860
2016-09-30 00:00:00+00:00,Parapluies,174
2016-09-30 00:00:00+00:00,Pièces d'identités et papiers personnels,2288
2016-09-30 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",3176
2016-09-30 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",334
2016-09-30 00:00:00+00:00,"Vêtements, chaussures",4090
2016-12-31 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",3369
2016-12-31 00:00:00+00:00,"Articles d'enfants, de puériculture",311
2016-12-31 00:00:00+00:00,"Articles de sport, loisirs, camping",190
2016-12-31 00:00:00+00:00,Articles médicaux,142
2016-12-31 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",7469
2016-12-31 00:00:00+00:00,"Bijoux, montres",229
2016-12-31 00:00:00+00:00,"Clés, porte-clés, badge magnétique",1229
2016-12-31 00:00:00+00:00,Divers,459
2016-12-31 00:00:00+00:00,Instruments de musique,48
2016-12-31 00:00:00+00:00,"Livres, articles de papéterie",667
2016-12-31 00:00:00+00:00,Optique,1268
2016-12-31 00:00:00+00:00,Parapluies,276
2016-12-31 00:00:00+00:00,Pièces d'identités et papiers personnels,2150
2016-12-31 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",2960
2016-12-31 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",231
2016-12-31 00:00:00+00:00,"Vêtements, chaussures",2979
2017-03-31 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",3373
2017-03-31 00:00:00+00:00,"Articles d'enfants, de puériculture",239
2017-03-31 00:00:00+00:00,"Articles de sport, loisirs, camping",200
2017-03-31 00:00:00+00:00,Articles médicaux,134
2017-03-31 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",6931
2017-03-31 00:00:00+00:00,"Bijoux, montres",226
2017-03-31 00:00:00+00:00,"Clés, porte-clés, badge magnétique",1096
2017-03-31 00:00:00+00:00,Divers,399
2017-03-31 00:00:00+00:00,Instruments de musique,62
2017-03-31 00:00:00+00:00,"Livres, articles de papéterie",696
