date,nb_objets
2016-03-31 00:00:00+00:00,21869
2016-06-30 00:00:00+00:00,23245
2016-09-30 00:00:00+00:00,26454
2016-12-31 00:00:00+00:00,23977
2017-03-31 00:00:00+00:00,22869
2017-06-30 00:00:00+00:00,24662
2017-09-30 00:00:00+00:00,26307
2017-12-31 00:00:00+00:00,24078
2018-03-31 00:00:00+00:00,22540
2018-06-30 00:00:00+00:00,18465
2018-09-30 00:00:00+00:00,25402
2018-12-31 00:00:00+00:00,23859
2019-03-31 00:00:00+00:00,21628
2019-06-30 00:00:00+00:00,23294
2019-09-30 00:00:00+00:00,25081
2019-12-31 00:00:00+00:00,18256
2020-03-31 00:00:00+00:00,15218
2020-06-30 00:00:00+00:00,4653
2020-09-30 00:00:00+00:00,16486
2020-12-31 00:00:00+00:00,10990
2021-03-31 00:00:00+00:00,11748
2021-06-30 00:00:00+00:00,12866
2021-09-30 00:00:00+00:00,19421
2021-12-31 00:00:00+00:00,17934
