date,type,nb_objets
2016-01-03 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",46
2016-01-03 00:00:00+00:00,"Articles d'enfants, de puériculture",10
2016-01-03 00:00:00+00:00,"Articles de sport, loisirs, camping",5
2016-01-03 00:00:00+00:00,Articles médicaux,1
2016-01-03 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",91
2016-01-03 00:00:00+00:00,"Clés, porte-clés, badge magnétique",9
2016-01-03 00:00:00+00:00,Divers,9
2016-01-03 00:00:00+00:00,"Livres, articles de papéterie",9
2016-01-03 00:00:00+00:00,Optique,19
2016-01-03 00:00:00+00:00,Parapluies,4
2016-01-03 00:00:00+00:00,Pièces d'identités et papiers personnels,25
2016-01-03 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",50
2016-01-03 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",4
2016-01-03 00:00:00+00:00,"Vêtements, chaussures",49
2016-01-10 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",233
2016-01-10 00:00:00+00:00,"Articles d'enfants, de puériculture",23
2016-01-10 00:00:00+00:00,"Articles de sport, loisirs, camping",16
2016-01-10 00:00:00+00:00,Articles médicaux,12
2016-01-10 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",571
2016-01-10 00:00:00+00:00,"Bijoux, montres",29
2016-01-10 00:00:00+00:00,"Clés, porte-clés, badge magnétique",92
2016-01-10 00:00:00+00:00,Divers,41
2016-01-10 00:00:00+00:00,Instruments de musique,3
2016-01-10 00:00:00+00:00,"Livres, articles de papéterie",36
2016-01-10 00:00:00+00:00,Optique,88
2016-01-10 00:00:00+00:00,Parapluies,30
2016-01-10 00:00:00+00:00,Pièces d'identités et papiers personnels,207
2016-01-10 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",188
2016-01-10 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",11
2016-01-10 00:00:00+00:00,"Vêtements, chaussures",156
2016-01-17 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",254
2016-01-17 00:00:00+00:00,"Articles d'enfants, de puériculture",15
2016-01-17 00:00:00+00:00,"Articles de sport, loisirs, camping",21
2016-01-17 00:00:00+00:00,Articles médicaux,16
2016-01-17 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",451
2016-01-17 00:00:00+00:00,"Bijoux, montres",19
2016-01-17 00:00:00+00:00,"Clés, porte-clés, badge magnétique",133
2016-01-17 00:00:00+00:00,Divers,31
2016-01-17 00:00:00+00:00,Instruments de musique,2
2016-01-17 00:00:00+00:00,"Livres, articles de papéterie",61
2016-01-17 00:00:00+00:00,Optique,97
2016-01-17 00:00:00+00:00,Parapluies,58
2016-01-17 00:00:00+00:00,Pièces d'identités et papiers personnels,230
2016-01-17 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",220
2016-01-17 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",13
2016-01-17 00:00:00+00:00,"Vêtements, chaussures",201
2016-01-24 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",244
2016-01-24 00:00:00+00:00,"Articles d'enfants, de puériculture",16
2016-01-24 00:00:00+00:00,"Articles de sport, loisirs, camping",11
2016-01-24 00:00:00+00:00,Articles médicaux,14
2016-01-24 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",498
2016-01-24 00:00:00+00:00,"Bijoux, montres",11
2016-01-24 00:00:00+00:00,"Clés, porte-clés, badge magnétique",107
2016-01-24 00:00:00+00:00,Divers,31
2016-01-24 00:00:00+00:00,Instruments de musique,1
2016-01-24 00:00:00+00:00,"Livres, articles de papéterie",48
2016-01-24 00:00:00+00:00,Optique,81
2016-01-24 00:00:00+00:00,Parapluies,13
2016-01-24 00:00:00+00:00,Pièces d'identités et papiers personnels,157
2016-01-24 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",192
2016-01-24 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",10
2016-01-24 00:00:00+00:00,"Vêtements, chaussures",240
2016-01-31 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",258
2016-01-31 00:00:00+00:00,"Articles d'enfants, de puériculture",15
2016-01-31 00:00:00+00:00,"Articles de sport, loisirs, camping",10
2016-01-31 00:00:00+00:00,Articles médicaux,6
2016-01-31 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",501
2016-01-31 00:00:00+00:00,"Bijoux, montres",13
2016-01-31 00:00:00+00:00,"Clés, porte-clés, badge magnétique",120
2016-01-31 00:00:00+00:00,Divers,25
2016-01-31 00:00:00+00:00,Instruments de musique,1
2016-01-31 00:00:00+00:00,"Livres, articles de papéterie",44
2016-01-31 00:00:00+00:00,Optique,100
2016-01-31 00:00:00+00:00,Parapluies,16
2016-01-31 00:00:00+00:00,Pièces d'identités et papiers personnels,143
2016-01-31 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",189
2016-01-31 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",22
2016-01-31 00:00:00+00:00,"Vêtements, chaussures",217
2016-02-07 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",244
2016-02-07 00:00:00+00:00,"Articles d'enfants, de puériculture",21
2016-02-07 00:00:00+00:00,"Articles de sport, loisirs, camping",11
2016-02-07 00:00:00+00:00,Articles médicaux,9
2016-02-07 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",536
2016-02-07 00:00:00+00:00,"Bijoux, montres",20
2016-02-07 00:00:00+00:00,"Clés, porte-clés, badge magnétique",88
2016-02-07 00:00:00+00:00,Divers,29
2016-02-07 00:00:00+00:00,Instruments de musique,8
2016-02-07 00:00:00+00:00,"Livres, articles de papéterie",46
2016-02-07 00:00:00+00:00,Optique,104
2016-02-07 00:00:00+00:00,Parapluies,33
2016-02-07 00:00:00+00:00,Pièces d'identités et papiers personnels,170
2016-02-07 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",174
2016-02-07 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",24
2016-02-07 00:00:00+00:00,"Vêtements, chaussures",201
2016-02-14 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",256
2016-02-14 00:00:00+00:00,"Articles d'enfants, de puériculture",17
2016-02-14 00:00:00+00:00,"Articles de sport, loisirs, camping",19
2016-02-14 00:00:00+00:00,Articles médicaux,13
2016-02-14 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",505
2016-02-14 00:00:00+00:00,"Bijoux, montres",26
2016-02-14 00:00:00+00:00,"Clés, porte-clés, badge magnétique",98
2016-02-14 00:00:00+00:00,Divers,27
2016-02-14 00:00:00+00:00,Instruments de musique,1
2016-02-14 00:00:00+00:00,"Livres, articles de papéterie",52
2016-02-14 00:00:00+00:00,Optique,95
2016-02-14 00:00:00+00:00,Parapluies,61
2016-02-14 00:00:00+00:00,Pièces d'identités et papiers personnels,144
2016-02-14 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",200
2016-02-14 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",21
2016-02-14 00:00:00+00:00,"Vêtements, chaussures",212
2016-02-21 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",209
2016-02-21 00:00:00+00:00,"Articles d'enfants, de puériculture",24
2016-02-21 00:00:00+00:00,"Articles de sport, loisirs, camping",16
2016-02-21 00:00:00+00:00,Articles médicaux,7
2016-02-21 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",457
2016-02-21 00:00:00+00:00,"Bijoux, montres",22
2016-02-21 00:00:00+00:00,"Clés, porte-clés, badge magnétique",75
2016-02-21 00:00:00+00:00,Divers,25
2016-02-21 00:00:00+00:00,Instruments de musique,4
2016-02-21 00:00:00+00:00,"Livres, articles de papéterie",35
2016-02-21 00:00:00+00:00,Optique,85
2016-02-21 00:00:00+00:00,Parapluies,20
2016-02-21 00:00:00+00:00,Pièces d'identités et papiers personnels,188
2016-02-21 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",202
2016-02-21 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",17
2016-02-21 00:00:00+00:00,"Vêtements, chaussures",205
2016-02-28 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",254
2016-02-28 00:00:00+00:00,"Articles d'enfants, de puériculture",36
2016-02-28 00:00:00+00:00,"Articles de sport, loisirs, camping",19
