date,nb_objets
2016-01-03 00:00:00+00:00,331
2016-01-10 00:00:00+00:00,1736
2016-01-17 00:00:00+00:00,1822
2016-01-24 00:00:00+00:00,1674
2016-01-31 00:00:00+00:00,1680
2016-02-07 00:00:00+00:00,1718
2016-02-14 00:00:00+00:00,1747
2016-02-21 00:00:00+00:00,1591
2016-02-28 00:00:00+00:00,1716
2016-03-06 00:00:00+00:00,1729
2016-03-13 00:00:00+00:00,1569
2016-03-20 00:00:00+00:00,1639
2016-03-27 00:00:00+00:00,1798
2016-04-03 00:00:00+00:00,1692
2016-04-10 00:00:00+00:00,1748
2016-04-17 00:00:00+00:00,1911
2016-04-24 00:00:00+00:00,1751
2016-05-01 00:00:00+00:00,1725
2016-05-08 00:00:00+00:00,1780
2016-05-15 00:00:00+00:00,2020
2016-05-22 00:00:00+00:00,1687
2016-05-29 00:00:00+00:00,1790
2016-06-05 00:00:00+00:00,1475
2016-06-12 00:00:00+00:00,1572
2016-06-19 00:00:00+00:00,1660
2016-06-26 00:00:00+00:00,2139
2016-07-03 00:00:00+00:00,2111
2016-07-10 00:00:00+00:00,2307
2016-07-17 00:00:00+00:00,2048
2016-07-24 00:00:00+00:00,2169
2016-07-31 00:00:00+00:00,1958
2016-08-07 00:00:00+00:00,2077
2016-08-14 00:00:00+00:00,1967
2016-08-21 00:00:00+00:00,1957
2016-08-28 00:00:00+00:00,1969
2016-09-04 00:00:00+00:00,1870
2016-09-11 00:00:00+00:00,1987
2016-09-18 00:00:00+00:00,1854
2016-09-25 00:00:00+00:00,1975
2016-10-02 00:00:00+00:00,1883
2016-10-09 00:00:00+00:00,2049
2016-10-16 00:00:00+00:00,1883
2016-10-23 00:00:00+00:00,1926
2016-10-30 00:00:00+00:00,1904
2016-11-06 00:00:00+00:00,1660
2016-11-13 00:00:00+00:00,1864
2016-11-20 00:00:00+00:00,1806
2016-11-27 00:00:00+00:00,1637
2016-12-04 00:00:00+00:00,1830
2016-12-11 00:00:00+00:00,1773
2016-12-18 00:00:00+00:00,1825
2016-12-25 00:00:00+00:00,1960
2017-01-01 00:00:00+00:00,1675
2017-01-08 00:00:00+00:00,1741
2017-01-15 00:00:00+00:00,1742
2017-01-22 00:00:00+00:00,1678
2017-01-29 00:00:00+00:00,1753
2017-02-05 00:00:00+00:00,1774
2017-02-12 00:00:00+00:00,1980
2017-02-19 00:00:00+00:00,1839
