date,type,nb_objets
2016-12-31 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",13592
2016-12-31 00:00:00+00:00,"Articles d'enfants, de puériculture",1227
2016-12-31 00:00:00+00:00,"Articles de sport, loisirs, camping",1143
2016-12-31 00:00:00+00:00,Articles médicaux,621
2016-12-31 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",27185
2016-12-31 00:00:00+00:00,"Bijoux, montres",961
2016-12-31 00:00:00+00:00,"Clés, porte-clés, badge magnétique",5031
2016-12-31 00:00:00+00:00,Divers,1839
2016-12-31 00:00:00+00:00,Instruments de musique,228
2016-12-31 00:00:00+00:00,"Livres, articles de papéterie",2590
2016-12-31 00:00:00+00:00,Optique,5837
2016-12-31 00:00:00+00:00,Parapluies,1258
2016-12-31 00:00:00+00:00,Pièces d'identités et papiers personnels,8733
2016-12-31 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",11449
2016-12-31 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",1028
2016-12-31 00:00:00+00:00,"Vêtements, chaussures",12823
2017-12-31 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",14090
2017-12-31 00:00:00+00:00,"Articles d'enfants, de puériculture",1112
2017-12-31 00:00:00+00:00,"Articles de sport, loisirs, camping",1180
2017-12-31 00:00:00+00:00,Articles médicaux,616
2017-12-31 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",29152
2017-12-31 00:00:00+00:00,"Bijoux, montres",923
2017-12-31 00:00:00+00:00,"Clés, porte-clés, badge magnétique",4508
2017-12-31 00:00:00+00:00,Divers,1674
2017-12-31 00:00:00+00:00,Instruments de musique,252
2017-12-31 00:00:00+00:00,"Livres, articles de papéterie",2534
2017-12-31 00:00:00+00:00,Optique,5727
2017-12-31 00:00:00+00:00,Parapluies,1125
2017-12-31 00:00:00+00:00,Pièces d'identités et papiers personnels,8478
2017-12-31 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",11810
2017-12-31 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",1296
2017-12-31 00:00:00+00:00,"Vêtements, chaussures",13439
2018-12-31 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",13114
2018-12-31 00:00:00+00:00,"Articles d'enfants, de puériculture",936
2018-12-31 00:00:00+00:00,"Articles de sport, loisirs, camping",1050
2018-12-31 00:00:00+00:00,Articles médicaux,437
2018-12-31 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",28480
2018-12-31 00:00:00+00:00,"Bijoux, montres",865
2018-12-31 00:00:00+00:00,"Clés, porte-clés, badge magnétique",3931
2018-12-31 00:00:00+00:00,Divers,1706
