,region,nb_objet,freq,n,date
0,Auvergne-Rhône-Alpes,637.0,12201062,5.220857004087021e-05,2016
1,Bourgogne-Franche-Comté,125.0,2541554,4.918250802461801e-05,2016
2,Bretagne,177.0,904297,0.0001957321543696374,2016
3,Centre-Val de Loire,196.0,2030177,9.654330632255218e-05,2016
4,Grand Est,288.0,5888703,4.890720418401132e-05,2016
5,Hauts-de-France,501.0,11446719,4.376800024531047e-05,2016
6,Normandie,171.0,1732109,9.872357917428984e-05,2016
7,Nouvelle-Aquitaine,406.0,4816423,8.429492177078301e-05,2016
8,Occitanie,184.0,3612762,5.0930562267871506e-05,2016
9,Pays de la Loire,305.0,4867791,6.26567574491181e-05,2016
10,Provence-Alpes-Côte d'Azur,443.0,6709099,6.602973066875299e-05,2016
11,Île-de-France,1215.0,41930789,2.8976320955944807e-05,2016
12,Auvergne-Rhône-Alpes,699.0,12201062,5.729009491141017e-05,2016
13,Bourgogne-Franche-Comté,99.0,2541554,3.895254635549746e-05,2016
14,Bretagne,187.0,904297,0.00020679046817583162,2016
15,Centre-Val de Loire,146.0,2030177,7.191491185251335e-05,2016
16,Grand Est,312.0,5888703,5.298280453267893e-05,2016
17,Hauts-de-France,469.0,11446719,4.097243935139842e-05,2016
18,Normandie,216.0,1732109,0.0001247034684306819,2016
19,Nouvelle-Aquitaine,416.0,4816423,8.637115137104859e-05,2016
20,Occitanie,242.0,3612762,6.698476124361362e-05,2016
21,Pays de la Loire,282.0,4867791,5.793182164147968e-05,2016
22,Provence-Alpes-Côte d'Azur,489.0,6709099,7.288609096392824e-05,2016
23,Île-de-France,1110.0,41930789,2.6472194453579205e-05,2016
24,Auvergne-Rhône-Alpes,648.0,12201062,5.311013090499827e-05,2016
25,Bourgogne-Franche-Comté,112.0,2541554,4.406752719005774e-05,2016
26,Bretagne,183.0,904297,0.00020236714265335393,2016
27,Centre-Val de Loire,157.0,2030177,7.733315863592189e-05,2016
28,Grand Est,276.0,5888703,4.6869404009677514e-05,2016
29,Hauts-de-France,498.0,11446719,4.3505916411506214e-05,2016
30,Normandie,192.0,1732109,0.00011084752749393947,2016
31,Nouvelle-Aquitaine,433.0,4816423,8.99007416915001e-05,2016
32,Occitanie,264.0,3612762,7.307428499303304e-05,2016
33,Pays de la Loire,256.0,4867791,5.2590589858931904e-05,2016
34,Provence-Alpes-Côte d'Azur,583.0,6709099,8.689691417580811e-05,2016
35,Île-de-France,1299.0,41930789,3.097962215783729e-05,2016
36,Auvergne-Rhône-Alpes,625.0,12201062,5.1225049098185056e-05,2016
37,Bourgogne-Franche-Comté,148.0,2541554,5.8232089501147725e-05,2016
38,Bretagne,157.0,904297,0.000173615526757249,2016
39,Centre-Val de Loire,147.0,2030177,7.240747974191412e-05,2016
40,Grand Est,265.0,5888703,4.5001420516538195e-05,2016
41,Hauts-de-France,486.0,11446719,4.2457581076289194e-05,2016
42,Normandie,236.0,1732109,0.00013625008587796726,2016
43,Nouvelle-Aquitaine,488.0,4816423,0.00010132000449296085,2016
44,Occitanie,275.0,3612762,7.611904686774274e-05,2016
45,Pays de la Loire,293.0,4867791,6.0191573549480655e-05,2016
46,Provence-Alpes-Côte d'Azur,661.0,6709099,9.85229164154531e-05,2016
47,Île-de-France,1213.0,41930789,2.89286233082807e-05,2016
48,Auvergne-Rhône-Alpes,680.0,12201062,5.573285341882534e-05,2016
49,Bourgogne-Franche-Comté,144.0,2541554,5.6658249244359945e-05,2016
50,Bretagne,134.0,904297,0.00014818140500300232,2016
51,Centre-Val de Loire,191.0,2030177,9.408046687554829e-05,2016
52,Grand Est,330.0,5888703,5.603950479417964e-05,2016
53,Hauts-de-France,504.0,11446719,4.403008407911472e-05,2016
