id_gare,code_postal,nom_gare,region,2016_01,2016_02,2016_03,2016_04,2016_05,2016_06,2016_07,2016_08,2016_09,2016_10,2016_11,2016_12,2017_01,2017_02,2017_03,2017_04,2017_05,2017_06,2017_07,2017_08,2017_09,2017_10,2017_11,2017_12,2018_01,2018_02,2018_03,2018_04,2018_05,2018_06,2018_07,2018_08,2018_09,2018_10,2018_11,2018_12,2019_01,2019_02,2019_03,2019_04,2019_05,2019_06,2019_07,2019_08,2019_09,2019_10,2019_11,2019_12,2020_01,2020_02,2020_03,2020_04,2020_05,2020_06,2020_07,2020_08,2020_09,2020_10,2020_11,2020_12,2021_01,2021_02,2021_03,2021_04,2021_05,2021_06,2021_07,2021_08,2021_09,2021_10,2021_11,2021_12
87313759,60220,Abancourt,60,6849,6849,6849,6849,6849,6849,6849,6849,6849,6849,6849,6849,7293,7293,7293,7293,7293,7293,7293,7293,7293,7293,7293,7293,6705,6038,6700,5930,6015,6280,6624,6470,6344,6334,6704,6335,6510,5843,6473,6122,6482,6408,6747,5992,6206,6239,5812,2537,3152,3860,2378,0,1159,2507,3737,3780,3839,2628,916,2852,5784,5068,5306,5750,5939,6162,6971,7052,6574,6754,6452,7175
87381657,78260,Achères Ville,78,575761,575761,575761,575761,575761,575761,575761,575761,575761,575761,575761,575761,582936,582936,582936,582936,582936,582936,582936,582936,582936,582936,582936,582936,579810,522139,579420,512837,520191,543043,572872,559491,548656,547785,579745,547876,528947,474742,525955,497408,526706,520644,548219,486827,504208,506928,472269,206144,155442,190325,117266,0,57142,123620,184287,186417,189328,129574,45150,140629,273577,239716,250955,271967,280899,291432,329704,333566,310934,319454,305187,339368
87781278,34300,Agde,34,123873,123873,123873,123873,123873,123873,123873,123873,123873,123873,123873,123873,130705,130705,130705,130705,130705,130705,130705,130705,130705,130705,130705,130705,110306,99334,110232,97565,98964,103311,108986,106440,104379,104213,110293,104231,93044,83509,92518,87496,92650,91584,96434,85635,88693,89171,83074,36262,43171,52859,32568,0,15870,34333,51182,51773,52582,35986,12539,39057,70478,61755,64650,70063,72364,75078,84937,85932,80102,82297,78621,87427
87741421,73610,Aiguebelette-le-Lac,73,652,652,652,652,652,652,652,652,652,652,652,652,520,520,520,520,520,520,520,520,520,520,520,520,422,380,422,374,379,396,417,408,400,399,422,399,725,651,721,682,722,714,751,667,691,695,647,283,284,348,214,0,104,226,337,341,346,237,83,257,408,358,375,406,419,435,492,498,464,477,456,507
87586693,47190,Aiguillon,47,15031,15031,15031,15031,15031,15031,15031,15031,15031,15031,15031,15031,16152,16152,16152,16152,16152,16152,16152,16152,16152,16152,16152,16152,15448,13912,15438,13664,13860,14469,15263,14907,14618,14595,15447,14597,16638,14933,16544,15646,16568,16377,17244,15313,15860,15946,14855,6484,8720,10677,6578,0,3205,6935,10338,10457,10621,7269,2533,7889,11919,10444,10933,11849,12238,12697,14364,14533,13547,13918,13296,14785
87185629,70320,Aillevillers,70,990,990,990,990,990,990,990,990,990,990,990,990,932,932,932,932,932,932,932,932,932,932,932,932,738,665,738,653,662,691,729,712,699,697,738,698,1121,1006,1114,1054,1116,1103,1161,1031,1068,1074,1001,437,841,1029,634,0,309,669,997,1008,1024,701,244,760,638,559,585,634,655,680,769,778,725,745,712,791
87722744,69340,Alaï,69,4656,4656,4656,4656,4656,4656,4656,4656,4656,4656,4656,4656,5953,5953,5953,5953,5953,5953,5953,5953,5953,5953,5953,5953,6172,5558,6168,5459,5537,5780,6098,5956,5840,5831,6171,5832,5771,5180,5738,5427,5747,5681,5981,5312,5501,5531,5153,2249,3182,3896,2400,0,1170,2531,3772,3816,3876,2652,924,2879,4234,3710,3884,4209,4347,4510,5102,5162,4812,4944,4723,5252
87313072,80300,Albert,80,84886,84886,84886,84886,84886,84886,84886,84886,84886,84886,84886,84886,87795,87795,87795,87795,87795,87795,87795,87795,87795,87795,87795,87795,83418,75121,83362,73783,74841,78129,82420,80495,78936,78811,83409,78824,80722,72450,80265,75909,80380,79455,83663,74294,76947,77362,72072,31459,37784,46264,28505,0,13890,30049,44796,45314,46021,31496,10975,34184,52569,46063,48222,52260,53976,56000,63354,64096,59747,61384,58643,65211
87444711,61000,Alençon,61,73712,73712,73712,73712,73712,73712,73712,73712,73712,73712,73712,73712,76630,76630,76630,76630,76630,76630,76630,76630,76630,76630,76630,76630,69414,62509,69367,61396,62276,65012,68583,66981,65684,65580,69406,65591,68669,61632,68280,64574,68378,67591,71171,63201,65457,65810,61311,26762,25502,31225,19239,0,9375,20281,30234,30584,31062,21258,7407,23072,39056,34222,35826,38826,40101,41605,47069,47620,44389,45605,43569,48448
87594234,19240,Allassac,19,2450,2450,2450,2450,2450,2450,2450,2450,2450,2450,2450,2450,2778,2778,2778,2778,2778,2778,2778,2778,2778,2778,2778,2778,3084,2777,3082,2728,2767,2888,3047,2976,2918,2914,3084,2914,3570,3205,3550,3358,3555,3514,3701,3286,3403,3422,3188,1392,1543,1889,1164,0,567,1227,1829,1850,1879,1286,448,1396,1987,1741,1823,1975,2040,2117,2394,2423,2258,2320,2216,2465
87592311,87240,Ambazac,87,5292,5292,5292,5292,5292,5292,5292,5292,5292,5292,5292,5292,5100,5100,5100,5100,5100,5100,5100,5100,5100,5100,5100,5100,4327,3896,4324,3827,3882,4052,4275,4175,4094,4088,4326,4089,4254,3818,4230,4000,4236,4187,4409,3915,4055,4077,3798,1658,2450,3000,1849,0,901,1949,2905,2939,2985,2043,712,2217,3184,2790,2921,3165,3269,3392,3837,3882,3619,3718,3552,3950
87574343,37400,Amboise,37,96317,96317,96317,96317,96317,96317,96317,96317,96317,96317,96317,96317,105078,105078,105078,105078,105078,105078,105078,105078,105078,105078,105078,105078,104298,93924,104228,92251,93573,97684,103050,100643,98694,98537,104286,98553,101181,90812,100608,95148,100752,99593,104867,93124,96449,96969,90339,39433,41625,50967,31402,0,15302,33104,49350,49920,50700,34698,12091,37659,66432,58210,60939,66041,68210,70768,80061,80999,75503,77572,74108,82408
87171744,2190,Amifontaine,21,2104,2104,2104,2104,2104,2104,2104,2104,2104,2104,2104,2104,2581,2581,2581,2581,2581,2581,2581,2581,2581,2581,2581,2581,2578,2322,2577,2281,2313,2415,2547,2488,2440,2436,2578,2436,2245,2015,2233,2111,2236,2210,2327,2067,2140,2152,2005,875,1294,1585,976,0,476,1029,1534,1552,1576,1079,376,1171,1581,1386,1451,1572,1624,1685,1906,1928,1797,1847,1764,1962
87381491,78570,Andrésy,78,103912,103912,103912,103912,103912,103912,103912,103912,103912,103912,103912,103912,93907,93907,93907,93907,93907,93907,93907,93907,93907,93907,93907,93907,83169,74896,83113,73562,74617,77895,82174,80254,78700,78575,83159,78588,67952,60989,67568,63901,67664,66886,70428,62541,64774,65124,60671,26483,19961,24440,15058,0,7338,15874,23665,23938,24312,16639,5798,18058,57682,50543,52913,57343,59226,61447,69517,70331,65559,67355,64347,71554
87543090,91670,Angerville,91,27042,27042,27042,27042,27042,27042,27042,27042,27042,27042,27042,27042,28492,28492,28492,28492,28492,28492,28492,28492,28492,28492,28492,28492,29258,26348,29238,25878,26249,27403,28908,28233,27686,27642,29255,27646,27944,25080,27786,26278,27826,27505,28962,25719,26637,26781,24950,10891,7358,9009,5551,0,2705,5851,8723,8824,8962,6133,2137,6657,14517,12720,13316,14431,14905,15464,17495,17700,16499,16951,16194,18007
