uic_code,obj_2016_01,obj_2016_02,obj_2016_03,obj_2016_04,obj_2016_05,obj_2016_06,obj_2016_07,obj_2016_08,obj_2016_09,obj_2016_10,obj_2016_11,obj_2016_12,obj_2017_01,obj_2017_02,obj_2017_03,obj_2017_04,obj_2017_05,obj_2017_06,obj_2017_07,obj_2017_08,obj_2017_09,obj_2017_10,obj_2017_11,obj_2017_12,obj_2018_01,obj_2018_02,obj_2018_03,obj_2018_04,obj_2018_05,obj_2018_06,obj_2018_07,obj_2018_08,obj_2018_09,obj_2018_10,obj_2018_11,obj_2018_12,obj_2019_01,obj_2019_02,obj_2019_03,obj_2019_04,obj_2019_05,obj_2019_06,obj_2019_07,obj_2019_08,obj_2019_09,obj_2019_10,obj_2019_11,obj_2019_12,obj_2020_01,obj_2020_02,obj_2020_03,obj_2020_04,obj_2020_05,obj_2020_06,obj_2020_07,obj_2020_08,obj_2020_09,obj_2020_10,obj_2020_11,obj_2020_12,obj_2021_01,obj_2021_02,obj_2021_03,obj_2021_04,obj_2021_05,obj_2021_06,obj_2021_07,obj_2021_08,obj_2021_09,obj_2021_10,obj_2021_11,obj_2021_12,departement_libellemin,gare_regionsncf_libelle,gare_alias_libelle_noncontraint,adresse_cp,code_gare,lat,long,id_gare,code_postal,nom_gare,region,2016_01,2016_02,2016_03,2016_04,2016_05,2016_06,2016_07,2016_08,2016_09,2016_10,2016_11,2016_12,2017_01,2017_02,2017_03,2017_04,2017_05,2017_06,2017_07,2017_08,2017_09,2017_10,2017_11,2017_12,2018_01,2018_02,2018_03,2018_04,2018_05,2018_06,2018_07,2018_08,2018_09,2018_10,2018_11,2018_12,2019_01,2019_02,2019_03,2019_04,2019_05,2019_06,2019_07,2019_08,2019_09,2019_10,2019_11,2019_12,2020_01,2020_02,2020_03,2020_04,2020_05,2020_06,2020_07,2020_08,2020_09,2020_10,2020_11,2020_12,2021_01,2021_02,2021_03,2021_04,2021_05,2021_06,2021_07,2021_08,2021_09,2021_10,2021_11,2021_12
0087111849,45.0,41.0,52.0,61.0,59.0,52.0,84.0,66.0,42.0,44.0,45.0,53.0,44.0,33.0,51.0,53.0,51.0,40.0,60.0,69.0,37.0,42.0,40.0,33.0,24.0,25.0,23.0,14.0,29.0,28.0,32.0,27.0,32.0,32.0,29.0,25.0,14.0,16.0,28.0,32.0,23.0,22.0,34.0,45.0,23.0,22.0,21.0,11.0,16.0,12.0,5.0,0.0,0.0,11.0,12.0,12.0,10.0,12.0,4.0,5.0,9.0,13.0,13.0,4.0,14.0,9.0,19.0,7.0,13.0,18.0,31.0,15.0,Seine-et-Marne,Île-de-France,Marne-la-Vallée Chessy,77111,03072,48.869856,2.78272,0087111849,77111,Marne-la-Vallée Chessy,77,921050,921050,921050,921050,921050,921050,921050,921050,921050,921050,921050,921050,1021418,1021418,1021418,1021418,1021418,1021418,1021418,1021418,1021418,1021418,1021418,1021418,1019244,917866,1018559,901514,914440,954612,1007049,983526,964479,962948,1019130,963108,845026,758431,840246,794641,841446,831762,875815,777736,805505,809850,754479,329328,247379,302894,186624,0,90938,196736,293285,296675,301308,206211,71854,223804,377108,330433,345924,374888,387200,401720,454475,459798,428602,440346,420680,467796
0087113001,366.0,299.0,290.0,277.0,239.0,200.0,142.0,126.0,93.0,98.0,79.0,127.0,104.0,88.0,126.0,109.0,87.0,119.0,127.0,132.0,85.0,120.0,124.0,42.0,114.0,88.0,112.0,82.0,96.0,133.0,146.0,136.0,120.0,122.0,111.0,116.0,140.0,115.0,126.0,87.0,119.0,167.0,154.0,134.0,150.0,171.0,156.0,70.0,89.0,142.0,51.0,0.0,29.0,59.0,92.0,85.0,82.0,90.0,56.0,69.0,52.0,64.0,75.0,45.0,76.0,76.0,106.0,85.0,75.0,92.0,108.0,126.0,Paris,Île-de-France,Paris Est,75010,03070,48.876742,2.358424,0087113001,75010,Paris Est,75,6753217,6753217,6753217,6753217,6753217,6753217,6753217,6753217,6753217,6753217,6753217,6753217,7250040,7250040,7250040,7250040,7250040,7250040,7250040,7250040,7250040,7250040,7250040,7250040,7409510,6672527,7404529,6553653,6647623,6939660,7320852,7149847,7011383,7000259,7408679,7001421,7114776,6385685,7074532,6690562,7084637,7003104,7374008,6548228,6782025,6818610,6352410,2772810,2375317,2908361,1791949,0,873183,1889040,2816102,2848648,2893137,1980023,689940,2148953,3505495,3071618,3215618,3484857,3599306,3734278,4224676,4274162,3984167,4093340,3910526,4348507
0087141002,66.0,78.0,75.0,73.0,97.0,74.0,108.0,71.0,93.0,72.0,68.0,84.0,92.0,64.0,103.0,76.0,72.0,69.0,60.0,47.0,72.0,73.0,61.0,48.0,67.0,65.0,52.0,51.0,53.0,57.0,76.0,51.0,74.0,74.0,78.0,97.0,76.0,51.0,74.0,86.0,72.0,59.0,55.0,31.0,55.0,48.0,68.0,26.0,39.0,43.0,39.0,0.0,10.0,33.0,44.0,43.0,60.0,49.0,26.0,23.0,32.0,23.0,43.0,32.0,30.0,35.0,44.0,43.0,72.0,50.0,38.0,57.0,Meurthe-et-Moselle,Grand Est,Nancy,54000,03002,48.689861,6.174583,0087141002,54000,Nancy,54,1599859,1599859,1599859,1599859,1599859,1599859,1599859,1599859,1599859,1599859,1599859,1599859,1653970,1653970,1653970,1653970,1653970,1653970,1653970,1653970,1653970,1653970,1653970,1653970,1589230,1431158,1588161,1405661,1425816,1488454,1570214,1533536,1503837,1501452,1589052,1501701,1553257,1394086,1544472,1460645,1546677,1528878,1609851,1429572,1480613,1488600,1386822,605344,631463,773169,476378,0,232130,502189,748643,757295,769122,526376,183416,571285,898843,787593,824516,893551,922897,957505,1083248,1095937,1021579,1049572,1002697,1114999
0087141150,1.0,2.0,0.0,0.0,1.0,2.0,4.0,1.0,2.0,7.0,0.0,8.0,3.0,1.0,2.0,3.0,2.0,1.0,6.0,9.0,6.0,5.0,2.0,2.0,6.0,2.0,3.0,2.0,4.0,5.0,7.0,3.0,1.0,2.0,4.0,1.0,3.0,1.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,5.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,4.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Meurthe-et-Moselle,Grand Est,Lunéville,54300,02988,48.588233,6.49727,0087141150,54300,Lunéville,54,156233,156233,156233,156233,156233,156233,156233,156233,156233,156233,156233,156233,163516,163516,163516,163516,163516,163516,163516,163516,163516,163516,163516,163516,160001,144087,159894,141520,143549,149855,158087,154394,151404,151164,159983,151189,152727,137076,151863,143621,152080,150330,158292,140565,145584,146369,136362,59522,67729,82927,51095,0,24897,53863,80297,81225,82493,56457,19673,61274,94416,82730,86609,93860,96943,100578,113787,115119,107309,110249,105325,117122
0087144006,8.0,8.0,5.0,6.0,3.0,3.0,7.0,4.0,11.0,11.0,11.0,4.0,11.0,16.0,8.0,13.0,11.0,15.0,6.0,6.0,16.0,13.0,17.0,9.0,15.0,8.0,8.0,3.0,3.0,6.0,7.0,4.0,9.0,5.0,6.0,5.0,6.0,9.0,9.0,6.0,9.0,7.0,5.0,4.0,4.0,6.0,16.0,7.0,5.0,3.0,0.0,0.0,0.0,2.0,3.0,2.0,7.0,4.0,2.0,1.0,5.0,6.0,3.0,0.0,0.0,4.0,1.0,0.0,6.0,2.0,2.0,4.0,Vosges,Grand Est,Épinal,88000,02945,48.178005,6.441787,0087144006,88000,Épinal,88,202778,202778,202778,202778,202778,202778,202778,202778,202778,202778,202778,202778,207253,207253,207253,207253,207253,207253,207253,207253,207253,207253,207253,207253,190063,171158,189935,168109,170520,178011,187789,183402,179851,179565,190042,179595,191664,172023,190580,180236,190852,188655,198647,176402,182700,183685,171127,74696,88569,108445,66817,0,32559,70437,105005,106218,107877,73830,25726,80129,127540,111755,116994,126790,130954,135864,153706,155507,144956,148928,142277,158212
0087172007,3.0,0.0,3.0,2.0,6.0,3.0,1.0,4.0,2.0,1.0,4.0,0.0,6.0,5.0,2.0,4.0,2.0,6.0,2.0,2.0,1.0,4.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,3.0,1.0,2.0,3.0,2.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ardennes,Grand Est,Charleville-Mézières,08000,02875,49.767915,4.724952,0087172007,8000,Charleville-Mézières,80,210234,210234,210234,210234,210234,210234,210234,210234,210234,210234,210234,210234,210398,210398,210398,210398,210398,210398,210398,210398,210398,210398,210398,210398,189561,170706,189433,167665,170069,177540,187293,182918,179375,179091,189539,179120,178347,160071,177338,167713,177591,175547,184845,164145,170006,170923,159236,69506,88299,108114,66613,0,32459,70222,104684,105894,107548,73604,25647,79884,129376,113363,118678,128614,132838,137820,155918,157745,147042,151071,144324,160489
0087174003,3.0,2.0,1.0,0.0,9.0,3.0,7.0,6.0,4.0,7.0,1.0,3.0,5.0,5.0,5.0,9.0,4.0,8.0,2.0,8.0,5.0,10.0,9.0,4.0,6.0,7.0,4.0,9.0,3.0,2.0,9.0,4.0,3.0,4.0,11.0,6.0,1.0,6.0,10.0,8.0,5.0,6.0,4.0,6.0,6.0,2.0,3.0,4.0,0.0,1.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Marne,Grand Est,Châlons-en-Champagne,51000,02848,48.955252,4.348656,0087174003,51000,Châlons-en-Champagne,51,142614,142614,142614,142614,142614,142614,142614,142614,142614,142614,142614,142614,147934,147934,147934,147934,147934,147934,147934,147934,147934,147934,147934,147934,128578,115789,128491,113726,115357,120424,127039,124072,121669,121476,128563,121496,131356,117895,130613,123524,130799,129294,136142,120896,125213,125888,117281,51193,49020,60021,36981,0,18020,38985,58117,58789,59707,40862,14239,44349,72076,63155,66116,71652,74005,76780,86863,87881,81918,84163,80404,89409
0087182014,20.0,30.0,14.0,18.0,20.0,17.0,15.0,23.0,26.0,22.0,18.0,15.0,23.0,30.0,36.0,15.0,15.0,22.0,25.0,20.0,39.0,32.0,23.0,17.0,11.0,17.0,22.0,21.0,19.0,7.0,24.0,29.0,28.0,21.0,36.0,14.0,25.0,10.0,14.0,26.0,18.0,21.0,28.0,17.0,19.0,13.0,13.0,4.0,13.0,12.0,5.0,0.0,1.0,2.0,2.0,6.0,4.0,3.0,4.0,11.0,9.0,13.0,14.0,3.0,14.0,14.0,10.0,19.0,17.0,9.0,12.0,9.0,Haut-Rhin,Grand Est,Colmar,68000,02810,48.073201,7.346967,0087182014,68000,Colmar,68,635177,635177,635177,635177,635177,635177,635177,635177,635177,635177,635177,635177,688020,688020,688020,688020,688020,688020,688020,688020,688020,688020,688020,688020,699184,629640,698714,618423,627290,654847,690818,674681,661615,660566,699106,660675,680263,610552,676415,639702,677381,669585,705048,626093,648447,651945,607371,265116,265198,324711,200066,0,97489,210906,314410,318044,323011,221064,77030,239925,377768,331011,346530,375544,387878,402423,455270,460603,429352,441117,421416,468615
0087182063,118.0,135.0,124.0,100.0,114.0,94.0,111.0,98.0,143.0,129.0,135.0,131.0,106.0,142.0,158.0,132.0,158.0,163.0,168.0,144.0,157.0,159.0,170.0,179.0,163.0,167.0,172.0,129.0,130.0,140.0,142.0,159.0,148.0,210.0,163.0,174.0,182.0,160.0,168.0,179.0,186.0,154.0,205.0,153.0,181.0,195.0,222.0,96.0,100.0,137.0,71.0,0.0,29.0,63.0,94.0,117.0,145.0,127.0,61.0,115.0,81.0,97.0,116.0,54.0,95.0,155.0,133.0,88.0,134.0,132.0,112.0,115.0,Haut-Rhin,Grand Est,Mulhouse,68100,02808,47.742224,7.342396,0087182063,68100,Mulhouse,68,954572,954572,954572,954572,954572,954572,954572,954572,954572,954572,954572,954572,998632,998632,998632,998632,998632,998632,998632,998632,998632,998632,998632,998632,975591,878554,974935,862902,875275,913727,963917,941402,923170,921706,975481,921859,939545,843265,934231,883525,935565,924798,973778,864729,895604,900435,838871,366165,384066,470254,289741,0,141185,305440,455337,460599,467793,320151,111557,347465,526719,461527,483164,523618,540815,561095,634780,642215,598642,615046,587577,653386
0087184002,1.0,0.0,1.0,0.0,0.0,5.0,0.0,4.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,2.0,3.0,6.0,1.0,0.0,6.0,0.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,5.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Territoire de Belfort,Bourgogne-Franche-Comté,Belfort,90000,02763,47.633284,6.853956,0087184002,90000,Belfort,90,198678,198678,198678,198678,198678,198678,198678,198678,198678,198678,198678,198678,214911,214911,214911,214911,214911,214911,214911,214911,214911,214911,214911,214911,188775,169999,188649,166970,169364,176805,186517,182160,178632,178349,188754,178378,192945,173173,191853,181441,192127,189916,199975,177581,183921,184913,172270,75195,84937,103997,64077,0,31223,67548,100698,101862,103453,70802,24671,76842,114075,99956,104642,113403,117128,121520,137479,139089,129652,133205,127256,141508
