,temperature_moyenne,nb_lost_item
0,-9.350000000000001,8
1,-8.075,1
2,-8.0,4
3,-7.9625,6
4,-7.799999999999999,8
5,-7.2375,9
6,-7.200000000000001,9
7,-6.875000000000002,5
8,-6.4625,10
9,-6.4624999999999995,3
10,-6.4125000000000005,6
11,-6.3500000000000005,12
12,-6.324999999999999,15
13,-6.3,1
14,-6.2625,3
15,-6.25,6
16,-6.2250000000000005,11
17,-6.125000000000001,5
18,-6.074999999999999,18
19,-6.0125,1
20,-6.0,9
21,-5.9750000000000005,4
22,-5.9125,17
23,-5.750000000000001,10
24,-5.737500000000001,2
25,-5.7250000000000005,8
26,-5.7125,1
27,-5.7,1
28,-5.675000000000001,15
29,-5.6625000000000005,13
30,-5.5375,1
31,-5.4375,2
32,-5.375000000000001,5
33,-5.2875000000000005,2
34,-5.275,7
35,-5.2625,1
36,-5.2125,15
37,-5.2124999999999995,2
38,-5.2,4
39,-5.1499999999999995,14
40,-5.1375,4
41,-5.1000000000000005,13
42,-5.1,5
43,-5.0875,11
44,-5.075,3
45,-5.025,12
46,-5.0249999999999995,6
47,-4.9625,21
48,-4.8374999999999995,3
49,-4.775,7
50,-4.699999999999999,2
51,-4.675,9
52,-4.65,14
53,-4.612500000000001,1
54,-4.5875,2
55,-4.5874999999999995,2
56,-4.575,4
57,-4.5625,3
58,-4.512499999999999,1
59,-4.499999999999999,1
60,-4.4625,8
61,-4.449999999999999,1
62,-4.4375,1
63,-4.425000000000001,1
64,-4.4125000000000005,7
65,-4.3999999999999995,2
66,-4.3375,1
67,-4.3125,4
68,-4.300000000000001,3
69,-4.262499999999999,19
70,-4.249999999999999,5
71,-4.225,8
72,-4.2125,10
73,-4.2,14
74,-4.1875,2
75,-4.175,2
76,-4.15,6
77,-4.1125,18
78,-4.0875,3
79,-4.0625,8
80,-4.0375,7
81,-4.0,10
82,-3.9875,3
83,-3.95,13
84,-3.9375,4
85,-3.9000000000000004,3
86,-3.849999999999999,4
87,-3.8375,4
88,-3.8285714285714283,4
89,-3.825,3
90,-3.8125,12
91,-3.7750000000000004,1
92,-3.775,4
93,-3.75,3
94,-3.7375,20
95,-3.6875,33
96,-3.6750000000000003,1
97,-3.675,2
98,-3.6624999999999996,3
99,-3.65,37
100,-3.6375000000000006,1
101,-3.6285714285714286,1
102,-3.625,1
103,-3.5999999999999996,1
104,-3.5875,2
105,-3.5874999999999995,1
106,-3.5625,3
107,-3.5624999999999996,20
108,-3.55,5
109,-3.5375000000000005,25
110,-3.5250000000000004,6
111,-3.525,4
112,-3.5249999999999995,7
113,-3.5125,20
114,-3.475,15
115,-3.4499999999999997,5
116,-3.425,2
117,-3.4142857142857146,9
118,-3.4125000000000005,6
119,-3.4124999999999996,2
120,-3.4,11
121,-3.3750000000000004,2
122,-3.375,13
123,-3.3625000000000003,16
124,-3.3499999999999996,5
125,-3.3375,1
126,-3.3249999999999997,7
127,-3.3,2
128,-3.2874999999999996,6
129,-3.275,11
130,-3.2625,1
131,-3.2499999999999996,2
132,-3.2375000000000007,3
133,-3.2,1
134,-3.1874999999999996,1
135,-3.166666666666666,4
136,-3.1625,2
137,-3.15,3
138,-3.1250000000000004,3
139,-3.125,13
140,-3.1125000000000003,1
141,-3.1125,4
142,-3.1,8
143,-3.075,1
144,-3.0625,2
145,-3.0500000000000003,1
146,-3.05,1
147,-3.0499999999999994,13
148,-3.025,12
149,-3.0125,1
