,region,date,n
0,Auvergne-Rhône-Alpes,2016-01-01,6
1,Auvergne-Rhône-Alpes,2016-01-02,11
2,Auvergne-Rhône-Alpes,2016-01-03,10
3,Auvergne-Rhône-Alpes,2016-01-04,57
4,Auvergne-Rhône-Alpes,2016-01-05,20
5,Auvergne-Rhône-Alpes,2016-01-06,25
6,Auvergne-Rhône-Alpes,2016-01-07,30
7,Auvergne-Rhône-Alpes,2016-01-08,27
8,Auvergne-Rhône-Alpes,2016-01-09,6
9,Auvergne-Rhône-Alpes,2016-01-10,9
10,Auvergne-Rhône-Alpes,2016-01-11,25
11,Auvergne-Rhône-Alpes,2016-01-12,8
12,Auvergne-Rhône-Alpes,2016-01-13,35
13,Auvergne-Rhône-Alpes,2016-01-14,19
14,Auvergne-Rhône-Alpes,2016-01-15,28
15,Auvergne-Rhône-Alpes,2016-01-16,13
16,Auvergne-Rhône-Alpes,2016-01-17,7
17,Auvergne-Rhône-Alpes,2016-01-18,41
18,Auvergne-Rhône-Alpes,2016-01-19,23
19,Auvergne-Rhône-Alpes,2016-01-20,26
20,Auvergne-Rhône-Alpes,2016-01-21,14
21,Auvergne-Rhône-Alpes,2016-01-22,23
22,Auvergne-Rhône-Alpes,2016-01-23,10
23,Auvergne-Rhône-Alpes,2016-01-24,8
24,Auvergne-Rhône-Alpes,2016-01-25,34
25,Auvergne-Rhône-Alpes,2016-01-26,38
26,Auvergne-Rhône-Alpes,2016-01-27,20
27,Auvergne-Rhône-Alpes,2016-01-28,29
28,Auvergne-Rhône-Alpes,2016-01-29,21
29,Auvergne-Rhône-Alpes,2016-01-30,7
30,Auvergne-Rhône-Alpes,2016-01-31,7
31,Auvergne-Rhône-Alpes,2016-02-01,51
32,Auvergne-Rhône-Alpes,2016-02-02,23
33,Auvergne-Rhône-Alpes,2016-02-03,28
34,Auvergne-Rhône-Alpes,2016-02-04,19
35,Auvergne-Rhône-Alpes,2016-02-05,13
36,Auvergne-Rhône-Alpes,2016-02-06,13
37,Auvergne-Rhône-Alpes,2016-02-07,5
38,Auvergne-Rhône-Alpes,2016-02-08,54
39,Auvergne-Rhône-Alpes,2016-02-09,32
40,Auvergne-Rhône-Alpes,2016-02-10,33
41,Auvergne-Rhône-Alpes,2016-02-11,17
42,Auvergne-Rhône-Alpes,2016-02-12,17
43,Auvergne-Rhône-Alpes,2016-02-13,20
44,Auvergne-Rhône-Alpes,2016-02-14,2
45,Auvergne-Rhône-Alpes,2016-02-15,49
46,Auvergne-Rhône-Alpes,2016-02-16,19
47,Auvergne-Rhône-Alpes,2016-02-17,39
