,region,date,n
0,Auvergne-Rhône-Alpes,2016-03-31,1984
1,Auvergne-Rhône-Alpes,2016-06-30,1940
2,Auvergne-Rhône-Alpes,2016-09-30,2187
3,Auvergne-Rhône-Alpes,2016-12-31,2058
4,Auvergne-Rhône-Alpes,2017-03-31,2264
5,Auvergne-Rhône-Alpes,2017-06-30,2129
6,Auvergne-Rhône-Alpes,2017-09-30,1889
7,Auvergne-Rhône-Alpes,2017-12-31,1860
8,Auvergne-Rhône-Alpes,2018-03-31,1883
9,Auvergne-Rhône-Alpes,2018-06-30,1186
10,Auvergne-Rhône-Alpes,2018-09-30,1540
11,Auvergne-Rhône-Alpes,2018-12-31,1732
12,Auvergne-Rhône-Alpes,2019-03-31,1878
13,Auvergne-Rhône-Alpes,2019-06-30,1667
14,Auvergne-Rhône-Alpes,2019-09-30,1730
15,Auvergne-Rhône-Alpes,2019-12-31,1431
16,Auvergne-Rhône-Alpes,2020-03-31,1478
17,Auvergne-Rhône-Alpes,2020-06-30,354
18,Auvergne-Rhône-Alpes,2020-09-30,1112
19,Auvergne-Rhône-Alpes,2020-12-31,794
20,Auvergne-Rhône-Alpes,2021-03-31,912
21,Auvergne-Rhône-Alpes,2021-06-30,952
22,Auvergne-Rhône-Alpes,2021-09-30,1278
23,Auvergne-Rhône-Alpes,2021-12-31,1412
24,Bourgogne-Franche-Comté,2016-03-31,336
25,Bourgogne-Franche-Comté,2016-06-30,404
26,Bourgogne-Franche-Comté,2016-09-30,419
27,Bourgogne-Franche-Comté,2016-12-31,348
28,Bourgogne-Franche-Comté,2017-03-31,301
29,Bourgogne-Franche-Comté,2017-06-30,391
30,Bourgogne-Franche-Comté,2017-09-30,466
31,Bourgogne-Franche-Comté,2017-12-31,472
32,Bourgogne-Franche-Comté,2018-03-31,400
33,Bourgogne-Franche-Comté,2018-06-30,308
34,Bourgogne-Franche-Comté,2018-09-30,339
35,Bourgogne-Franche-Comté,2018-12-31,396
36,Bourgogne-Franche-Comté,2019-03-31,311
37,Bourgogne-Franche-Comté,2019-06-30,352
38,Bourgogne-Franche-Comté,2019-09-30,387
39,Bourgogne-Franche-Comté,2019-12-31,276
40,Bourgogne-Franche-Comté,2020-03-31,226
41,Bourgogne-Franche-Comté,2020-06-30,69
42,Bourgogne-Franche-Comté,2020-09-30,282
43,Bourgogne-Franche-Comté,2020-12-31,235
44,Bourgogne-Franche-Comté,2021-03-31,219
45,Bourgogne-Franche-Comté,2021-06-30,200
46,Bourgogne-Franche-Comté,2021-09-30,270
47,Bourgogne-Franche-Comté,2021-12-31,328
48,Bretagne,2016-03-31,547
49,Bretagne,2016-06-30,459
50,Bretagne,2016-09-30,681
51,Bretagne,2016-12-31,549
52,Bretagne,2017-03-31,469
53,Bretagne,2017-06-30,539
54,Bretagne,2017-09-30,698
55,Bretagne,2017-12-31,546
56,Bretagne,2018-03-31,573
57,Bretagne,2018-06-30,306
58,Bretagne,2018-09-30,657
59,Bretagne,2018-12-31,543
60,Bretagne,2019-03-31,477
61,Bretagne,2019-06-30,583
62,Bretagne,2019-09-30,604
63,Bretagne,2019-12-31,333
64,Bretagne,2020-03-31,337
65,Bretagne,2020-06-30,170
66,Bretagne,2020-09-30,439
67,Bretagne,2020-12-31,314
68,Bretagne,2021-03-31,253
69,Bretagne,2021-06-30,297
70,Bretagne,2021-09-30,541
71,Bretagne,2021-12-31,506
72,Centre-Val de Loire,2016-03-31,499
73,Centre-Val de Loire,2016-06-30,496
74,Centre-Val de Loire,2016-09-30,516
75,Centre-Val de Loire,2016-12-31,528
76,Centre-Val de Loire,2017-03-31,541
77,Centre-Val de Loire,2017-06-30,578
