,region,date,n
0,Auvergne-Rhône-Alpes,2016-01-03,27
1,Auvergne-Rhône-Alpes,2016-01-10,174
2,Auvergne-Rhône-Alpes,2016-01-17,135
3,Auvergne-Rhône-Alpes,2016-01-24,145
4,Auvergne-Rhône-Alpes,2016-01-31,156
5,Auvergne-Rhône-Alpes,2016-02-07,152
6,Auvergne-Rhône-Alpes,2016-02-14,175
7,Auvergne-Rhône-Alpes,2016-02-21,169
8,Auvergne-Rhône-Alpes,2016-02-28,153
9,Auvergne-Rhône-Alpes,2016-03-06,167
10,Auvergne-Rhône-Alpes,2016-03-13,141
11,Auvergne-Rhône-Alpes,2016-03-20,152
12,Auvergne-Rhône-Alpes,2016-03-27,161
13,Auvergne-Rhône-Alpes,2016-04-03,117
14,Auvergne-Rhône-Alpes,2016-04-10,135
15,Auvergne-Rhône-Alpes,2016-04-17,170
16,Auvergne-Rhône-Alpes,2016-04-24,154
17,Auvergne-Rhône-Alpes,2016-05-01,136
18,Auvergne-Rhône-Alpes,2016-05-08,170
19,Auvergne-Rhône-Alpes,2016-05-15,154
20,Auvergne-Rhône-Alpes,2016-05-22,134
21,Auvergne-Rhône-Alpes,2016-05-29,150
22,Auvergne-Rhône-Alpes,2016-06-05,110
23,Auvergne-Rhône-Alpes,2016-06-12,129
24,Auvergne-Rhône-Alpes,2016-06-19,150
25,Auvergne-Rhône-Alpes,2016-06-26,190
26,Auvergne-Rhône-Alpes,2016-07-03,159
27,Auvergne-Rhône-Alpes,2016-07-10,212
28,Auvergne-Rhône-Alpes,2016-07-17,168
29,Auvergne-Rhône-Alpes,2016-07-24,158
30,Auvergne-Rhône-Alpes,2016-07-31,184
31,Auvergne-Rhône-Alpes,2016-08-07,161
32,Auvergne-Rhône-Alpes,2016-08-14,150
33,Auvergne-Rhône-Alpes,2016-08-21,181
34,Auvergne-Rhône-Alpes,2016-08-28,156
35,Auvergne-Rhône-Alpes,2016-09-04,129
36,Auvergne-Rhône-Alpes,2016-09-11,163
37,Auvergne-Rhône-Alpes,2016-09-18,149
38,Auvergne-Rhône-Alpes,2016-09-25,188
39,Auvergne-Rhône-Alpes,2016-10-02,167
40,Auvergne-Rhône-Alpes,2016-10-09,185
41,Auvergne-Rhône-Alpes,2016-10-16,159
42,Auvergne-Rhône-Alpes,2016-10-23,181
43,Auvergne-Rhône-Alpes,2016-10-30,154
44,Auvergne-Rhône-Alpes,2016-11-06,112
45,Auvergne-Rhône-Alpes,2016-11-13,139
46,Auvergne-Rhône-Alpes,2016-11-20,179
47,Auvergne-Rhône-Alpes,2016-11-27,149
48,Auvergne-Rhône-Alpes,2016-12-04,178
