,gare_regionsncf_libelle,date,lat,long
0,Auvergne-Rhône-Alpes,2016-01-01,274.70476,30.41861
1,Auvergne-Rhône-Alpes,2016-01-02,504.412747,56.345289
2,Auvergne-Rhône-Alpes,2016-01-03,457.746996,49.85603
3,Auvergne-Rhône-Alpes,2016-01-04,2604.6703589999997,299.165505
4,Auvergne-Rhône-Alpes,2016-01-05,913.916457,102.408767
5,Auvergne-Rhône-Alpes,2016-01-06,1144.082768,127.60458799999999
6,Auvergne-Rhône-Alpes,2016-01-07,1371.422376,151.037327
7,Auvergne-Rhône-Alpes,2016-01-08,1237.510074,129.20869
8,Auvergne-Rhône-Alpes,2016-01-09,274.70476,30.41861
9,Auvergne-Rhône-Alpes,2016-01-10,411.277837,45.533001
10,Auvergne-Rhône-Alpes,2016-01-11,1140.157238,134.403682
11,Auvergne-Rhône-Alpes,2016-01-12,365.741135,40.847303
12,Auvergne-Rhône-Alpes,2016-01-13,1600.717852,177.973962
13,Auvergne-Rhône-Alpes,2016-01-14,868.590643,102.48002299999999
14,Auvergne-Rhône-Alpes,2016-01-15,1280.238783,143.38312299999998
15,Auvergne-Rhône-Alpes,2016-01-16,595.810551,72.478955
16,Auvergne-Rhône-Alpes,2016-01-17,320.901455,31.752288999999998
17,Auvergne-Rhône-Alpes,2016-01-18,1873.97239,209.14839
18,Auvergne-Rhône-Alpes,2016-01-19,1050.751314,120.448709
19,Auvergne-Rhône-Alpes,2016-01-20,1184.599863,139.248699
20,Auvergne-Rhône-Alpes,2016-01-21,639.297566,73.05972299999999
21,Auvergne-Rhône-Alpes,2016-01-22,1054.23179,114.758237
22,Auvergne-Rhône-Alpes,2016-01-23,457.888402,51.11851
23,Auvergne-Rhône-Alpes,2016-01-24,366.807076,41.755508
24,Auvergne-Rhône-Alpes,2016-01-25,1553.304406,189.061333
25,Auvergne-Rhône-Alpes,2016-01-26,1737.6645489999999,187.498715
26,Auvergne-Rhône-Alpes,2016-01-27,914.14908,99.525194
27,Auvergne-Rhône-Alpes,2016-01-28,1328.238407,140.60592
28,Auvergne-Rhône-Alpes,2016-01-29,959.902011,109.183306
29,Auvergne-Rhône-Alpes,2016-01-30,320.323913,34.015485
30,Auvergne-Rhône-Alpes,2016-01-31,320.323913,34.015485
31,Auvergne-Rhône-Alpes,2016-02-01,2330.046043,271.848637
32,Auvergne-Rhône-Alpes,2016-02-02,1052.162674,116.29328899999999
33,Auvergne-Rhône-Alpes,2016-02-03,1279.413817,142.79981
34,Auvergne-Rhône-Alpes,2016-02-04,870.025744,98.512981
35,Auvergne-Rhône-Alpes,2016-02-05,595.020301,63.486537999999996
36,Auvergne-Rhône-Alpes,2016-02-06,596.630861,68.026179
37,Auvergne-Rhône-Alpes,2016-02-07,229.24258700000001,24.652483
38,Auvergne-Rhône-Alpes,2016-02-08,2468.294207,289.662762
39,Auvergne-Rhône-Alpes,2016-02-09,1464.247707,165.827124
40,Auvergne-Rhône-Alpes,2016-02-10,1511.0348549999999,164.370509
41,Auvergne-Rhône-Alpes,2016-02-11,777.698904,88.062074
42,Auvergne-Rhône-Alpes,2016-02-12,778.673589,85.32024299999999
43,Auvergne-Rhône-Alpes,2016-02-13,916.849837,103.43146899999999
44,Auvergne-Rhône-Alpes,2016-02-14,91.521118,9.71871
45,Auvergne-Rhône-Alpes,2016-02-15,2240.56552,265.65457
46,Auvergne-Rhône-Alpes,2016-02-16,867.984903,98.534055
47,Auvergne-Rhône-Alpes,2016-02-17,1781.691635,193.930936
48,Auvergne-Rhône-Alpes,2016-02-18,1098.49536,117.484042
49,Auvergne-Rhône-Alpes,2016-02-19,1098.998958,117.987551
50,Auvergne-Rhône-Alpes,2016-02-20,274.563354,29.156129999999997
51,Auvergne-Rhône-Alpes,2016-02-21,366.50869,42.662279999999996
