,uic_code,code_gare,rg_libelle,alias_libelle_noncontraint,commune_libellemin,latitude_entreeprincipale_wgs84,longitude_entreeprincipale_wgs84
0,0087313759,02266,GARES C PICARDIE,Abancourt,Abancourt,49.6852237,1.7743058
1,0087481614,01604,GARES C PAYS DE LA LOIRE,Abbaretz,Abbaretz,47.5546432,-1.5244159
2,0087317362,02219,GARES B PICARDIE,Abbeville,Abbeville,50.10221,1.82449
3,0087545269,01460,GARES B IDF LIGNE C,Ablon-sur-Seine,Ablon-sur-Seine,48.725468,2.419151
4,0087683656,00773,GARES C BOURGOGNE,Accolay,Arcy-sur-Cure,,
5,0087386052,02020,GARES B IDF LIGNE A,Achères Grand Cormier,Saint-Germain-en-Laye,48.9551835,2.0919031
6,0087381657,02062,GARES B IDF LIGNE A,Achères Ville,Achères,48.97011,2.07739
7,0087316745,02242,GARES C PICARDIE,Acheux - Franleu,Chépy,50.0826021,1.6574207
8,0087342154,03098,GARES C NORD PAS DE CALAIS,Achicourt,,,
9,0087342048,02187,GARES C NORD PAS DE CALAIS,Achiet-le-Grand,Achiet-le-Grand,50.1317525,2.780168
10,0087316455,03099,GARES C PICARDIE,Achy,,,
11,0087271460,02544,GARES B IDF LIGNE B,Aéroport Charles de Gaulle 1,Tremblay-en-France,49.00956,2.56135
12,0087271494,02541,GARE AEROPORT CDG 2 TGV,Aéroport Charles de Gaulle 2 TGV,Roissy-en-France,49.003652,2.570892
13,0087001479,02541,GARE AEROPORT CDG 2 TGV,Aéroport Charles de Gaulle 2 TGV (RER),Roissy-en-France,49.003652,2.570892
14,0087757559,00198,GARES C COTE AZUR,Agay,Saint-Raphaël,43.4313701,6.8564997
15,0087781278,00073,GARES B LANGUEDOC ROUSSILLON,Agde,Agde,43.317280,3.466203
16,0087586008,01223,GARE AGEN,Agen,Agen,44.208311,0.620932
17,0087595157,01118,GARES C AQUITAINE,Agonac,Agonac,45.2865966,0.7486706
18,0087171702,02883,GARES C PICARDIE,Aguilcourt - Variscourt,Variscourt,49.408017,3.973137
19,0087485193,03081,GARES C POITOU CHARENTES,Aigrefeuille Le Thou,Aigrefeuille-d'Aunis,46.09402,-0.95168
20,0087741421,00404,GARES C ALPES,Aiguebelette-le-Lac,Aiguebelette-le-Lac,45.5363048,5.8131468
21,0087741256,00407,GARES C ALPES,Aiguebelle,,45.5437225,6.3067175
22,0087734129,00448,GARES C AUVERGNE,Aigueperse,Aigueperse,46.0147884,3.1982621
23,0087775122,00110,GARES C LANGUEDOC ROUSSILLON,Aigues Vives,Aigues-Vives,,
24,0087775858,00082,GARES C LANGUEDOC ROUSSILLON,Aigues-Mortes,Aigues-Mortes,43.5709008,4.1912102
25,0087586693,01210,GARES C AQUITAINE,Aiguillon,Aiguillon,44.2987224,0.3352388
26,0087185629,02746,GARES C FRANCHE COMTE,Aillevillers,Corbenay,47.9138876,6.3372988
27,0087313221,02305,GARES B PICARDIE,Ailly-sur-Noye,Ailly-sur-Noye,49.75448,2.36419
28,0087313098,02311,GARES B PICARDIE,Ailly-sur-Somme,Ailly-sur-Somme,49.92838,2.20059
29,0087775833,00084,GARES C LANGUEDOC ROUSSILLON,Aimargues,Aimargues,43.6786107,4.2082933
30,0087741769,00391,GARES B ALPES,Aime - La Plagne,Aime-la-Plagne,45.554400,6.648646
