date,nb_objets,saison
2016-01-01 00:00:00+00:00,83,hiver
2016-01-02 00:00:00+00:00,114,hiver
2016-01-03 00:00:00+00:00,134,hiver
2016-01-04 00:00:00+00:00,423,hiver
2016-01-05 00:00:00+00:00,250,hiver
2016-01-06 00:00:00+00:00,260,hiver
2016-01-07 00:00:00+00:00,337,hiver
2016-01-08 00:00:00+00:00,255,hiver
2016-01-09 00:00:00+00:00,121,hiver
2016-01-10 00:00:00+00:00,90,hiver
2016-01-11 00:00:00+00:00,395,hiver
2016-01-12 00:00:00+00:00,330,hiver
2016-01-13 00:00:00+00:00,279,hiver
2016-01-14 00:00:00+00:00,286,hiver
2016-01-15 00:00:00+00:00,329,hiver
2016-01-16 00:00:00+00:00,117,hiver
2016-01-17 00:00:00+00:00,86,hiver
2016-01-18 00:00:00+00:00,379,hiver
2016-01-19 00:00:00+00:00,239,hiver
2016-01-20 00:00:00+00:00,252,hiver
2016-01-21 00:00:00+00:00,268,hiver
2016-01-22 00:00:00+00:00,302,hiver
2016-01-23 00:00:00+00:00,117,hiver
2016-01-24 00:00:00+00:00,117,hiver
2016-01-25 00:00:00+00:00,395,hiver
2016-01-26 00:00:00+00:00,261,hiver
2016-01-27 00:00:00+00:00,222,hiver
2016-01-28 00:00:00+00:00,295,hiver
2016-01-29 00:00:00+00:00,282,hiver
2016-01-30 00:00:00+00:00,130,hiver
2016-01-31 00:00:00+00:00,95,hiver
2016-02-01 00:00:00+00:00,440,hiver
2016-02-02 00:00:00+00:00,242,hiver
2016-02-03 00:00:00+00:00,257,hiver
2016-02-04 00:00:00+00:00,282,hiver
2016-02-05 00:00:00+00:00,222,hiver
2016-02-06 00:00:00+00:00,150,hiver
2016-02-07 00:00:00+00:00,125,hiver
2016-02-08 00:00:00+00:00,421,hiver
2016-02-09 00:00:00+00:00,273,hiver
2016-02-10 00:00:00+00:00,314,hiver
2016-02-11 00:00:00+00:00,236,hiver
2016-02-12 00:00:00+00:00,213,hiver
2016-02-13 00:00:00+00:00,155,hiver
2016-02-14 00:00:00+00:00,135,hiver
2016-02-15 00:00:00+00:00,351,hiver
2016-02-16 00:00:00+00:00,206,hiver
2016-02-17 00:00:00+00:00,249,hiver
2016-02-18 00:00:00+00:00,271,hiver
2016-02-19 00:00:00+00:00,261,hiver
2016-02-20 00:00:00+00:00,122,hiver
2016-02-21 00:00:00+00:00,131,hiver
2016-02-22 00:00:00+00:00,440,hiver
2016-02-23 00:00:00+00:00,310,hiver
2016-02-24 00:00:00+00:00,241,hiver
2016-02-25 00:00:00+00:00,232,hiver
2016-02-26 00:00:00+00:00,271,hiver
2016-02-27 00:00:00+00:00,110,hiver
2016-02-28 00:00:00+00:00,112,hiver
2016-02-29 00:00:00+00:00,402,hiver
2016-03-01 00:00:00+00:00,279,printemps
2016-03-02 00:00:00+00:00,195,printemps
2016-03-03 00:00:00+00:00,311,printemps
2016-03-04 00:00:00+00:00,250,printemps
2016-03-05 00:00:00+00:00,167,printemps
2016-03-06 00:00:00+00:00,125,printemps
2016-03-07 00:00:00+00:00,388,printemps
2016-03-08 00:00:00+00:00,235,printemps
2016-03-09 00:00:00+00:00,100,printemps
2016-03-10 00:00:00+00:00,280,printemps
2016-03-11 00:00:00+00:00,307,printemps
2016-03-12 00:00:00+00:00,158,printemps
2016-03-13 00:00:00+00:00,101,printemps
2016-03-14 00:00:00+00:00,342,printemps
2016-03-15 00:00:00+00:00,268,printemps
2016-03-16 00:00:00+00:00,243,printemps
2016-03-17 00:00:00+00:00,252,printemps
2016-03-18 00:00:00+00:00,263,printemps
2016-03-19 00:00:00+00:00,170,printemps
2016-03-20 00:00:00+00:00,101,printemps
2016-03-21 00:00:00+00:00,335,printemps
2016-03-22 00:00:00+00:00,278,printemps
2016-03-23 00:00:00+00:00,343,printemps
2016-03-24 00:00:00+00:00,268,printemps
2016-03-25 00:00:00+00:00,299,printemps
2016-03-26 00:00:00+00:00,160,printemps
2016-03-27 00:00:00+00:00,115,printemps
2016-03-28 00:00:00+00:00,166,printemps
2016-03-29 00:00:00+00:00,445,printemps
2016-03-30 00:00:00+00:00,284,printemps
2016-03-31 00:00:00+00:00,224,printemps
2016-04-01 00:00:00+00:00,354,printemps
2016-04-02 00:00:00+00:00,148,printemps
2016-04-03 00:00:00+00:00,71,printemps
2016-04-04 00:00:00+00:00,385,printemps
2016-04-05 00:00:00+00:00,234,printemps
2016-04-06 00:00:00+00:00,308,printemps
2016-04-07 00:00:00+00:00,274,printemps
2016-04-08 00:00:00+00:00,276,printemps
2016-04-09 00:00:00+00:00,159,printemps
2016-04-10 00:00:00+00:00,112,printemps
2016-04-11 00:00:00+00:00,423,printemps
2016-04-12 00:00:00+00:00,295,printemps
2016-04-13 00:00:00+00:00,262,printemps
2016-04-14 00:00:00+00:00,283,printemps
2016-04-15 00:00:00+00:00,305,printemps
2016-04-16 00:00:00+00:00,195,printemps
2016-04-17 00:00:00+00:00,148,printemps
2016-04-18 00:00:00+00:00,432,printemps
2016-04-19 00:00:00+00:00,244,printemps
2016-04-20 00:00:00+00:00,242,printemps
2016-04-21 00:00:00+00:00,291,printemps
2016-04-22 00:00:00+00:00,277,printemps
2016-04-23 00:00:00+00:00,160,printemps
2016-04-24 00:00:00+00:00,105,printemps
2016-04-25 00:00:00+00:00,396,printemps
2016-04-26 00:00:00+00:00,178,printemps
2016-04-27 00:00:00+00:00,261,printemps
2016-04-28 00:00:00+00:00,287,printemps
2016-04-29 00:00:00+00:00,253,printemps
2016-04-30 00:00:00+00:00,227,printemps
2016-05-01 00:00:00+00:00,123,printemps
2016-05-02 00:00:00+00:00,394,printemps
2016-05-03 00:00:00+00:00,286,printemps
2016-05-04 00:00:00+00:00,328,printemps
2016-05-05 00:00:00+00:00,183,printemps
2016-05-06 00:00:00+00:00,330,printemps
2016-05-07 00:00:00+00:00,135,printemps
2016-05-08 00:00:00+00:00,124,printemps
2016-05-09 00:00:00+00:00,496,printemps
2016-05-10 00:00:00+00:00,336,printemps
2016-05-11 00:00:00+00:00,287,printemps
2016-05-12 00:00:00+00:00,281,printemps
2016-05-13 00:00:00+00:00,301,printemps
2016-05-14 00:00:00+00:00,186,printemps
2016-05-15 00:00:00+00:00,133,printemps
2016-05-16 00:00:00+00:00,193,printemps
2016-05-17 00:00:00+00:00,388,printemps
2016-05-18 00:00:00+00:00,266,printemps
2016-05-19 00:00:00+00:00,220,printemps
2016-05-20 00:00:00+00:00,260,printemps
2016-05-21 00:00:00+00:00,189,printemps
2016-05-22 00:00:00+00:00,171,printemps
2016-05-23 00:00:00+00:00,356,printemps
2016-05-24 00:00:00+00:00,297,printemps
2016-05-25 00:00:00+00:00,242,printemps
2016-05-26 00:00:00+00:00,189,printemps
2016-05-27 00:00:00+00:00,349,printemps
2016-05-28 00:00:00+00:00,219,printemps
2016-05-29 00:00:00+00:00,138,printemps
2016-05-30 00:00:00+00:00,408,printemps
2016-05-31 00:00:00+00:00,325,printemps
2016-06-01 00:00:00+00:00,203,ete
2016-06-02 00:00:00+00:00,137,ete
2016-06-03 00:00:00+00:00,198,ete
2016-06-04 00:00:00+00:00,100,ete
2016-06-05 00:00:00+00:00,104,ete
2016-06-06 00:00:00+00:00,326,ete
2016-06-07 00:00:00+00:00,228,ete
2016-06-08 00:00:00+00:00,216,ete
2016-06-09 00:00:00+00:00,282,ete
2016-06-10 00:00:00+00:00,240,ete
2016-06-11 00:00:00+00:00,171,ete
2016-06-12 00:00:00+00:00,109,ete
2016-06-13 00:00:00+00:00,378,ete
2016-06-14 00:00:00+00:00,221,ete
2016-06-15 00:00:00+00:00,224,ete
2016-06-16 00:00:00+00:00,264,ete
2016-06-17 00:00:00+00:00,307,ete
2016-06-18 00:00:00+00:00,155,ete
2016-06-19 00:00:00+00:00,111,ete
2016-06-20 00:00:00+00:00,492,ete
2016-06-21 00:00:00+00:00,281,ete
2016-06-22 00:00:00+00:00,370,ete
2016-06-23 00:00:00+00:00,290,ete
2016-06-24 00:00:00+00:00,317,ete
2016-06-25 00:00:00+00:00,174,ete
2016-06-26 00:00:00+00:00,215,ete
2016-06-27 00:00:00+00:00,425,ete
2016-06-28 00:00:00+00:00,357,ete
2016-06-29 00:00:00+00:00,303,ete
